GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assistant-therapeutique,com.example.assistant_therapeutique.controller,MoodController,0,68,0,2,0,16,0,8,0,7
assistant-therapeutique,com.example.assistant_therapeutique.controller,ChatMessageController,0,24,0,0,0,7,0,3,0,3
assistant-therapeutique,com.example.assistant_therapeutique.controller,ConversationController,124,60,6,0,29,14,6,7,3,7
assistant-therapeutique,com.example.assistant_therapeutique.controller,UserController,12,194,4,8,1,39,3,7,0,4
assistant-therapeutique,com.example.assistant_therapeutique.controller,CustomErrorController,4,3,0,0,2,1,2,1,2,1
assistant-therapeutique,com.example.assistant_therapeutique.controller,JournalController,0,72,0,2,0,17,0,8,0,7
assistant-therapeutique,com.example.assistant_therapeutique.controller,AuthController,0,83,0,4,0,15,0,5,0,3
assistant-therapeutique,com.example.assistant_therapeutique.service,AiService,0,96,1,3,0,21,1,4,0,3
assistant-therapeutique,com.example.assistant_therapeutique.service,JournalService,0,68,0,2,0,16,0,7,0,6
assistant-therapeutique,com.example.assistant_therapeutique.service,ChatMessageService,0,66,0,4,0,16,0,5,0,3
assistant-therapeutique,com.example.assistant_therapeutique.service,UserService,0,19,0,0,0,4,0,4,0,4
assistant-therapeutique,com.example.assistant_therapeutique.service,MoodService,0,27,0,0,0,7,0,5,0,5
assistant-therapeutique,com.example.assistant_therapeutique.service,ConversationService,6,79,0,2,1,18,1,8,1,7
